Region,Country,Year,Diversity_rank,RDI_score,Diveristy_level,Buddhists,Christians,Hindus,Jews,Muslims,Other_Religions,Religiously_Unaffiliated,Level,Countrycode
Europe,Belgium,2010,23,6.0818958,High,.14475167,61.109604,.11814681,.27670664,5.1129079,1.2252637,32.012623,1,56
Europe,Belgium,2020,13,6.8005438,High,.1784153,50.9715,.23222196,.25082782,6.8113284,2.572257,38.983448,1,56
Latin America-Caribbean,Belize,2010,54,4.875905,Moderate,.25641423,74.03389,.20103468,.18316923,.19491985,9.1239891,16.006582,1,84
Latin America-Caribbean,Belize,2020,60,4.8311615,Moderate,.25308877,74.366051,.19547847,.19750811,.18023044,9.1780396,15.629606,1,84
Sub-Saharan Africa,Benin,2010,11,6.8108296,High,.0094010942,58.32692,.0094222669,.00003176045,23.464527,13.790581,4.3991208,1,204
Sub-Saharan Africa,Benin,2020,8,7.0548515,Very high,.0082258154,53.231163,.008297001,.000063275504,31.40123,10.465116,4.88591,1,204
Asia-Pacific,Bhutan,2010,61,4.558095,Moderate,74.701378,.5481391,22.553225,.000031513213,.22865137,1.940111,.028466828,1,64
Asia-Pacific,Bhutan,2020,69,4.5546651,Moderate,74.735252,.55020624,22.50588,.000057136298,.22215641,1.9427681,.043676686,1,64
Latin America-Caribbean,Bolivia,2010,155,.96172512,Very low,.017019995,95.706306,.0033257459,.034531184,.0084121814,.2421076,3.9882944,1,68
Latin America-Caribbean,Bolivia,2020,124,2.3320014,Moderate,.01885028,88.925598,.003686277,.0041889511,.0098021459,1.4902164,9.547658,1,68
Europe,Bosnia-Herzegovina,2010,24,6.0787535,High,.0023615304,46.453857,0,.013119613,51.275082,1.1486156,1.1069636,1,70
Europe,Bosnia-Herzegovina,2020,30,5.9782372,High,.0027121345,44.677944,0,.015067413,53.648979,.60955805,1.0457406,1,70
Sub-Saharan Africa,Botswana,2010,74,3.8451216,Moderate,.24802342,80.463951,.14342645,.0047808816,.71622223,3.7609153,14.662677,1,72
Sub-Saharan Africa,Botswana,2020,89,3.5071208,Moderate,.22821616,82.290588,.13744883,.0039271098,.33039239,2.2872162,14.722209,1,72
Latin America-Caribbean,Brazil,2010,113,2.3083179,Moderate,.12678048,89.158264,.0029942514,.055669174,.018563654,2.5220077,8.1157188,1,76
Latin America-Caribbean,Brazil,2020,83,3.8274372,Moderate,.10313736,80.655067,.00077041739,.044158481,.017701255,5.7058816,13.473284,1,76
Asia-Pacific,Brunei,2010,65,4.2498655,Moderate,7.8363509,8.6844969,1.3407314,0,78.793671,3.1882052,.15654491,1,96
Asia-Pacific,Brunei,2020,88,3.6792648,Moderate,6.2967753,6.6934423,1.3356726,0,82.150757,3.3671494,.15620579,1,96
Europe,Bulgaria,2010,76,3.7381127,Moderate,.019819338,81.397606,.0014116295,.049360912,9.98141,.14314535,8.4072437,1,100
Europe,Bulgaria,2020,77,4.053359,Moderate,.026466109,79.497078,.0029070857,.045989148,10.258736,.136665,10.032158,1,100
Sub-Saharan Africa,Burkina Faso,2010,28,5.9285913,High,.0015511721,26.581064,.0007445626,0,64.342949,8.4493933,.6243,1,854
Sub-Saharan Africa,Burkina Faso,2020,45,5.4311719,Moderate,.0012544937,28.004366,.00060401548,0,67.409698,4.0082779,.57579911,1,854
Sub-Saharan Africa,Burundi,2010,152,1.0378673,Low,.00010956976,95.405525,.0070443931,.00021913952,2.0740278,.65396762,1.8591024,1,108
Sub-Saharan Africa,Burundi,2020,158,1.1289018,Low,.00016366309,94.980278,.0074676019,.00016366309,2.9935937,.76537955,1.252955,1,108
Asia-Pacific,Cambodia,2010,168,.70060432,Very low,96.928932,.37198132,.00090506981,0,1.9044551,.70043284,.093291819,1,116
Asia-Pacific,Cambodia,2020,168,.66367507,Very low,97.090858,.31641948,.00079283462,0,2.0429039,.46998683,.079039522,1,116
Sub-Saharan Africa,Cameroon,2010,51,5.1150527,Moderate,.001808902,71.665817,.0063404581,.0063404581,21.32802,3.9161279,3.075546,1,120
Sub-Saharan Africa,Cameroon,2020,52,5.2237725,Moderate,.0018199101,69.833939,.0074303336,.0063794805,25.15727,2.9132965,2.0798645,1,120
North America,Canada,2010,36,5.7042441,High,1.1058371,67.249382,1.5851321,1.0001762,3.2494712,1.9552203,23.854778,1,124
North America,Canada,2020,11,6.9051676,High,1.737348,53.321121,1.5247571,.92304629,4.8878632,2.9764302,34.629429,1,124
Sub-Saharan Africa,Cape Verde,2010,95,2.8819411,Moderate,.0057558096,85.701752,.0015348826,.012854642,.28412381,.40238708,13.591594,1,132
Sub-Saharan Africa,Cape Verde,2020,79,4.0176744,Moderate,.005148977,78.29805,.0013730605,.012357544,.31266481,.75420195,20.616205,1,132
Sub-Saharan Africa,Central African Republic,2010,116,2.1821809,Moderate,.0021458918,89.762932,.0010729459,.0034334268,8.3951263,.83705986,.99822861,1,140
Sub-Saharan Africa,Central African Republic,2020,130,2.0206375,Moderate,.0018716007,90.675163,.0024330809,.0031817211,6.2410378,2.6238563,.45245379,1,140
Sub-Saharan Africa,Chad,2010,26,6.0056014,High,.011265496,39.548363,.011265496,0,57.278461,.461135,2.6895161,1,148
Sub-Saharan Africa,Chad,2020,25,6.1818047,High,.010874331,38.894054,.0099971751,0,56.357784,1.592638,3.1346579,1,148
Europe,Channel Islands,2010,92,2.9330394,Moderate,.0034585549,85.370674,.080060706,.064853951,.07824678,.34281412,14.059889,1,830
Europe,Channel Islands,2020,101,2.9611855,Moderate,.0035124409,85.2033,.081575029,.066504717,.079690456,.34925935,14.216156,1,830
Latin America-Caribbean,Chile,2010,97,2.817035,Moderate,.016725965,86.02832,.004410685,.1632096,.0073511414,.19836402,13.58162,1,152
Latin America-Caribbean,Chile,2020,55,5.1497011,Moderate,.038323306,68.326019,.005335507,.081571691,.066993728,1.2156916,30.266064,1,152
Asia-Pacific,China,2010,99,2.6931071,Moderate,5.6303849,2.3081434,.0016627132,.00022895311,1.5336534,3.1039207,87.422005,1,156
Asia-Pacific,China,2020,126,2.2610345,Moderate,3.7429757,1.7847568,.0020417899,.00021302719,1.8218017,3.0250807,89.623131,1,156
Latin America-Caribbean,Colombia,2010,131,1.640264,Low,.0036147719,92.420113,.00091484963,.0058014854,.0030123098,.3223874,7.2441578,1,170
Latin America-Caribbean,Colombia,2020,104,2.8562493,Moderate,.0092215305,86.246964,.0010246146,.0041378662,.0039269077,3.7911248,9.9436026,1,170
Sub-Saharan Africa,Comoros,2010,195,.10745754,Very low,0,.30425164,.00076216721,0,99.537849,.027107738,.13002573,1,174
Sub-Saharan Africa,Comoros,2020,181,.39166173,Very low,0,.50999999,.00062021968,0,98.300003,1.0593798,.13,1,174
Latin America-Caribbean,Costa Rica,2010,124,1.8875334,Low,.044134337,91.235909,.008870136,.054086197,.017740272,1.0947138,7.5445504,1,188
Latin America-Caribbean,Costa Rica,2020,112,2.5376604,Moderate,.048993725,87.859177,.0093693184,.050750475,.02518004,1.9079376,10.098596,1,188
