country,year,intrastate_deaths,civilian_deaths,state-sponsored religion index,Region,Diversity_rank,RDI_score,Diveristy_level,Buddhists,Christians,Hindus,Jews,Muslims,Other_Religions,Religiously_Unaffiliated,majority_religion,hierarchy,exclusivity,collectivism,political_theology,pluralism_tolerance
Afghanistan,1989,5174,303,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1990,1478,101,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1991,3302,38,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1992,4287,1687,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1993,4071,611,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1994,8937,119,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1995,5499,181,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1996,3177,396,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1997,6396,30,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1998,6256,540,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,1999,4629,147,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2000,5235,483,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2001,3658,110,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2002,900,126,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2003,687,35,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2004,715,38,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2005,1595,92,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
Afghanistan,2006,4750,282,2.0,Asia-Pacific,200.0,0.032174885,Very low,0.020000853,0.019379199,0.00012829648,2.5659296e-05,99.861969,0.090042546,0.0084565645,Muslims,4,4,5,5,2
